ID,"Tank ID","Farm ID","Feed Quantity",Meals,"Feed Date"
2587,1287,115,7.69,4,2026-09-01
2586,1287,115,7.69,3,2026-09-01
2585,1287,115,7.69,2,2026-09-01
2584,1287,115,7.69,1,2026-09-01
2583,1287,115,7.69,4,2026-08-31
2582,1287,115,7.69,3,2026-08-31
2581,1287,115,7.69,2,2026-08-31
2580,1287,115,7.69,1,2026-08-31
2579,1287,115,7.69,4,2026-08-30
2578,1287,115,7.69,3,2026-08-30
2577,1287,115,7.69,2,2026-08-30
2576,1287,115,7.69,1,2026-08-30
2575,1287,115,7.69,4,2026-08-29
2574,1287,115,7.69,3,2026-08-29
2573,1287,115,7.69,2,2026-08-29
2572,1287,115,7.69,1,2026-08-29
2571,1287,115,7.69,3,2026-08-28
2570,1287,115,7.69,2,2026-08-28
2569,1287,115,7.69,1,2026-08-28
2568,1287,115,7.69,3,2026-08-27
2567,1287,115,7.70,2,2026-08-27
2566,1287,115,7.70,1,2026-08-27
2565,1287,115,7.70,2,2026-08-26
2564,1287,115,7.70,1,2026-08-26
2563,1287,115,7.70,2,2026-08-25
2562,1287,115,7.70,1,2026-08-25
