ID,"Tank ID","Farm ID","Feed Quantity",Meals,"Feed Date"
1668,1173,48,1.67,4,2026-08-24
1667,1173,48,1.67,4,2026-08-23
1666,1173,48,1.67,4,2026-08-22
1665,1173,48,1.67,4,2026-08-21
1664,1173,48,1.67,4,2026-08-20
1663,1173,48,1.67,4,2026-08-19
1662,1173,48,1.67,4,2026-08-18
1661,1173,48,1.67,4,2026-08-17
1660,1173,48,1.67,4,2026-08-16
1659,1173,48,1.67,4,2026-08-15
1658,1173,48,1.67,3,2026-08-14
1657,1173,48,1.67,3,2026-08-13
1656,1173,48,1.67,3,2026-08-12
1655,1173,48,1.67,3,2026-08-11
1654,1173,48,1.67,3,2026-08-10
1653,1173,48,1.67,3,2026-08-09
1652,1173,48,1.67,3,2026-08-08
1651,1173,48,1.67,2,2026-08-07
1650,1173,48,1.67,2,2026-08-06
1649,1173,48,1.67,2,2026-08-05
1648,1173,48,1.67,2,2026-08-04
1647,1173,48,1.67,2,2026-08-03
1646,1173,48,1.67,2,2026-08-02
1645,1173,48,1.67,2,2026-08-01
