ID,"Tank ID","Farm ID","Feed Quantity",Meals,"Feed Date"
816,1179,49,181.16,4,2026-08-23
815,1179,49,181.16,4,2026-08-22
814,1179,49,181.16,4,2026-08-21
813,1179,49,181.16,4,2026-08-20
812,1179,49,181.16,4,2026-08-19
811,1179,49,181.16,4,2026-08-18
810,1179,49,181.16,4,2026-08-17
809,1179,49,181.16,4,2026-08-16
808,1179,49,181.16,4,2026-08-15
807,1179,49,181.16,3,2026-08-14
806,1179,49,181.16,3,2026-08-13
805,1179,49,181.16,3,2026-08-12
804,1179,49,181.16,3,2026-08-11
803,1179,49,181.16,3,2026-08-10
802,1179,49,181.16,3,2026-08-09
801,1179,49,181.16,3,2026-08-08
800,1179,49,181.16,2,2026-08-07
799,1179,49,181.16,2,2026-08-06
798,1179,49,181.16,2,2026-08-05
797,1179,49,181.16,2,2026-08-04
796,1179,49,181.16,2,2026-08-03
795,1179,49,181.16,2,2026-08-02
794,1179,49,181.16,2,2026-08-01
