ID,"Tank ID","Farm ID","Feed Quantity",Meals,"Feed Date"
1616,1178,49,100.00,4,2026-08-24
1609,1178,49,100.00,3,"2026-08-23 10:42:30"
792,1178,49,181.16,4,2026-08-22
791,1178,49,181.16,4,2026-08-21
790,1178,49,181.16,4,2026-08-20
789,1178,49,181.16,4,2026-08-19
788,1178,49,181.16,4,2026-08-18
787,1178,49,181.16,4,2026-08-17
786,1178,49,181.16,4,2026-08-16
785,1178,49,181.16,4,2026-08-15
784,1178,49,181.16,3,2026-08-14
783,1178,49,181.16,3,2026-08-13
782,1178,49,181.16,3,2026-08-12
781,1178,49,181.16,3,2026-08-11
780,1178,49,181.16,3,2026-08-10
779,1178,49,181.16,3,2026-08-09
778,1178,49,181.16,3,2026-08-08
777,1178,49,181.16,2,2026-08-07
776,1178,49,181.16,2,2026-08-06
775,1178,49,181.16,2,2026-08-05
774,1178,49,181.16,2,2026-08-04
773,1178,49,181.16,2,2026-08-03
772,1178,49,181.16,2,2026-08-02
771,1178,49,181.16,2,2026-08-01
