ID,"Tank ID","Farm ID","Feed Quantity",Meals,"Feed Date"
616,1200,57,10.86,3,2026-09-01
615,1200,57,20.00,2,2026-09-01
614,1200,57,10.87,1,2026-09-01
613,1200,57,10.87,4,2026-08-31
612,1200,57,10.87,3,2026-08-31
611,1200,57,10.87,2,2026-08-31
610,1200,57,10.87,1,2026-08-31
609,1200,57,10.87,4,2026-08-30
608,1200,57,10.87,3,2026-08-30
607,1200,57,10.87,2,2026-08-30
606,1200,57,10.87,1,2026-08-30
605,1200,57,10.87,4,2026-08-29
604,1200,57,10.87,3,2026-08-29
603,1200,57,10.87,2,2026-08-29
602,1200,57,10.87,1,2026-08-29
601,1200,57,10.87,4,2026-08-28
600,1200,57,10.87,3,2026-08-28
599,1200,57,10.87,2,2026-08-28
598,1200,57,10.87,1,2026-08-28
597,1200,57,10.87,4,2026-08-27
596,1200,57,10.87,3,2026-08-27
595,1200,57,10.87,2,2026-08-27
594,1200,57,10.87,1,2026-08-27
593,1200,57,10.87,4,2026-08-26
592,1200,57,10.87,3,2026-08-26
591,1200,57,10.87,2,2026-08-26
590,1200,57,10.87,1,2026-08-26
589,1200,57,10.87,4,2026-08-25
588,1200,57,10.87,3,2026-08-25
587,1200,57,10.87,2,2026-08-25
586,1200,57,10.87,1,2026-08-25
585,1200,57,10.87,4,2026-08-24
584,1200,57,10.87,3,2026-08-24
583,1200,57,10.87,2,2026-08-24
582,1200,57,10.87,1,2026-08-24
581,1200,57,10.87,3,2026-08-23
580,1200,57,10.87,2,2026-08-23
579,1200,57,10.87,1,2026-08-23
578,1200,57,10.87,3,2026-08-22
577,1200,57,10.87,2,2026-08-22
576,1200,57,10.87,1,2026-08-22
575,1200,57,10.87,2,2026-08-21
574,1200,57,10.87,1,2026-08-21
573,1200,57,10.87,2,2026-08-20
572,1200,57,10.87,1,2026-08-20
